"研究課題名","研究課題名 (英文)","研究課題/領域番号","研究期間 (年度)","研究代表者","研究分担者","連携研究者","研究協力者","特別研究員","外国人特別研究員","受入研究者","キーワード","研究分野","審査区分","研究種目","研究機関","応募区分","総配分額","総配分額 (直接経費)","総配分額 (間接経費)","各年度配分額","各年度配分額 (直接経費)","各年度配分額 (間接経費)","現在までの達成度 (区分コード)","現在までの達成度 (区分)","理由","研究概要","研究概要 (英文)","研究成果の概要","研究成果の概要 (英文)","研究実績の概要","現在までの達成度 (段落)","今後の研究の推進方策","次年度の研究費の使用計画","次年度使用額が生じた理由","次年度使用額の使用計画","自由記述の分野","評価記号","備考"
"心理学的に妥当な自然言語処理システムによる会話の自然な「間」の自動生成","","18K18504","2018-06-29 – 2021-03-31","狩野 芳伸 静岡大学, 情報学部, 准教授 (20506729)","","","","","","","自然言語処理 / 対話システム","","中区分2:文学、言語学およびその関連分野","挑戦的研究(萌芽)","静岡大学","","6240000","4800000","1440000","2018:1300000 2019:2470000 2020:2470000","2018:1000000 2019:1900000 2020:1900000","2018:300000 2019:570000 2020:570000","","","","","","","","","","","","","","","",""
"近代書籍デジタルテキスト化のためのレイアウト解析・文字領域認識の高度化","Improvement of layout analysis and character area recognition for extracting digital text from modern books","18K18330","2018-04-01 – 2021-03-31","増田 勝也 東京大学, 大学総合教育研究センター, 特任助教 (20512114)","","","","","","","OCR / レイアウト解析 / デジタルテキスト化 / デジタルアーカイブ / 自然言語処理","","小区分90020:図書館情報学および人文社会情報学関連","若手研究","東京大学","","3900000","3000000","900000","2018:1560000 2019:1430000 2020:910000","2018:1200000 2019:1100000 2020:700000","2018:360000 2019:330000 2020:210000","","","","","","","","","","","","","","","",""
"プレゼンテーションスキルの向上を支援する模範音声の自動生成システム","","18K18170","2018-04-01 – 2021-03-31","太田 健吾 阿南工業高等専門学校, 創造技術工学科, 講師 (80712801)","","","","","","","音声言語処理 / 自然言語処理 / 発表音声 / プレゼンテーションスキル / 話し方評価","","小区分62030:学習支援システム関連","若手研究","阿南工業高等専門学校","","3120000","2400000","720000","2018:2080000 2019:520000 2020:520000","2018:1600000 2019:400000 2020:400000","2018:480000 2019:120000 2020:120000","","","","","","","","","","","","","","","",""
"大規模データにおけるエンコーダ・デコーダモデルの効率的な学習","","18K18119","2018-04-01 – 2021-03-31","高瀬 翔 日本電信電話株式会社NTTコミュニケーション科学基礎研究所, 協創情報研究部, リサーチアソシエイト (40817483)","","","","","","","ニューラルネットワーク / 自然言語処理","","小区分61030:知能情報学関連","若手研究","日本電信電話株式会社NTTコミュニケーション科学基礎研究所","","2860000","2200000","660000","2018:1300000 2019:780000 2020:780000","2018:1000000 2019:600000 2020:600000","2018:300000 2019:180000 2020:180000","","","","","","","","","","","","","","","",""
"語学学習支援システムにおける能力測定のための自動作問技術に関する研究","","18K18118","2018-04-01 – 2022-03-31","江原 遥 国立研究開発法人産業技術総合研究所, 情報・人間工学領域, 研究員 (60738029)","","","","","","","外国語教育 / 自然言語処理 / 表現学習 / 項目反応理論 / 深層学習","","小区分61030:知能情報学関連","若手研究","国立研究開発法人産業技術総合研究所","","3380000","2600000","780000","2018:1040000 2019:780000 2020:780000 2021:780000","2018:800000 2019:600000 2020:600000 2021:600000","2018:240000 2019:180000 2020:180000 2021:180000","","","","","","","","","","","","","","","",""
"多方言音声合成のための地理情報を利用した音韻・アクセントモデリングに関する研究","","18K18100","2018-04-01 – 2021-03-31","高道 慎之介 東京大学, 大学院情報理工学系研究科, 特任助教 (90784330)","","","","","","","音声合成 / 方言 / 深層学習 / 自然言語処理","","小区分61030:知能情報学関連","若手研究","東京大学","","4290000","3300000","990000","2018:1690000 2019:1300000 2020:1300000","2018:1300000 2019:1000000 2020:1000000","2018:390000 2019:300000 2020:300000","","","","","","","","","","","","","","","",""
"デマの蔓延が政治的帰結に与える影響：テキストマイニングとサーベイ実験による検討","Impact of political rumor spread on political consequences: Evidence from Text-Mining and Survey Experiment","18K12707","2018-04-01 – 2021-03-31","秦 正樹 北九州市立大学, 法学部, 講師 (10792567)","","","","","","","政治的陰謀論 / 政治的情報 / 代替的事実 / サーベイ実験 / 自然言語処理技術","","小区分06010:政治学関連","若手研究","北九州市立大学","","4160000","3200000","960000","2018:2210000 2019:1430000 2020:520000","2018:1700000 2019:1100000 2020:400000","2018:510000 2019:330000 2020:120000","","","","","","","","","","","","","","","",""
"作られる物と使われる物が記述された大規模文書群の検索に関する研究","","18K11986","2018-04-01 – 2023-03-31","安川 美智子 群馬大学, 大学院理工学府, 助教 (70361384)","","","","","","","情報検索 / 情報組織化 / 情報資源の構築・管理 / 自然言語処理 / データベース","","小区分90020:図書館情報学および人文社会情報学関連","基盤研究(C)","群馬大学","一般","4420000","3400000","1020000","2018:1040000 2019:910000 2020:910000 2021:780000 2022:780000","2018:800000 2019:700000 2020:700000 2021:600000 2022:600000","2018:240000 2019:210000 2020:210000 2021:180000 2022:180000","","","","","","","","","","","","","","","",""
"言語運用能力向上のためのAIのマルチメディアデータ読解力に関する研究","Research on AI's reading comprehension of multimedia data for improving language proficiency","18K11557","2018-04-01 – 2021-03-31","宮森 恒 京都産業大学, 情報理工学部, 教授 (90287988)","","","","","","","読解力 / マルチメディアデータ / 自然言語処理 / 深層学習 / 人工知能","","小区分62020:ウェブ情報学およびサービス情報学関連","基盤研究(C)","京都産業大学","一般","4290000","3300000","990000","2018:1690000 2019:1300000 2020:1300000","2018:1300000 2019:1000000 2020:1000000","2018:390000 2019:300000 2020:300000","","","","","","","","","","","","","","","",""
"オントロジーと深層学習の融合による生命情報推論システム","","18K11522","2018-04-01 – 2021-03-31","村上 勝彦 株式会社富士通研究所, その他部局等, 研究員(移行) (30344055)","","","","","","","深層学習 / オントロジー / 分散表現 / 自然言語処理 / セマンティックウェブ","","小区分62010:生命、健康および医療情報学関連","基盤研究(C)","株式会社富士通研究所","一般","4420000","3400000","1020000","2018:1560000 2019:1040000 2020:1820000","2018:1200000 2019:800000 2020:1400000","2018:360000 2019:240000 2020:420000","","","","","","","","","","","","","","","",""
"記憶を利用した文脈を考慮した自然言語処理の開発","Context-sensitive Natural Language Processing with Memory Mechanism","18K11475","2018-04-01 – 2022-03-31","柳本 豪一 大阪府立大学, 人間社会システム科学研究科, 准教授 (80326280)","","","","","","","自然言語処理","","小区分61040:ソフトコンピューティング関連","基盤研究(C)","大阪府立大学","一般","4420000","3400000","1020000","2018:2470000 2019:910000 2020:520000 2021:520000","2018:1900000 2019:700000 2020:400000 2021:400000","2018:570000 2019:210000 2020:120000 2021:120000","","","","","","","","","","","","","","","",""
"表現学習による語彙的変異の通言語的研究","","18K11456","2018-04-01 – 2021-03-31","高村 大也 国立研究開発法人産業技術総合研究所, 情報・人間工学領域, 研究チーム長 (80361773)","永田 亮 甲南大学, 知能情報学部, 准教授 (10403312)
川崎 義史 東京大学, 大学院総合文化研究科, 講師 (40794756)","","","","","","計算言語学 / 自然言語処理 / 語彙","","小区分61030:知能情報学関連","基盤研究(C)","国立研究開発法人産業技術総合研究所","一般","4290000","3300000","990000","2018:2210000 2019:1040000 2020:1040000","2018:1700000 2019:800000 2020:800000","2018:510000 2019:240000 2020:240000","","","","","","","","","","","","","","","",""
